#r11	r12	r13	r21	r22	r23	r31	r32	r33	tx	ty	tz
0.999019	0.043056	0.010380	-0.042941	0.999016	-0.011065	-0.010846	0.010609	0.999885	9.997850	4.997850	29.989249	
0.998973	0.044058	0.010612	-0.043938	0.998970	-0.011330	-0.011100	0.010852	0.999880	9.997800	4.997801	29.988999	
0.998925	0.045060	0.010844	-0.044934	0.998923	-0.011595	-0.011355	0.011095	0.999874	9.997750	4.997751	29.988749	
0.998877	0.046063	0.011076	-0.045931	0.998874	-0.011860	-0.011610	0.011338	0.999868	9.997700	4.997701	29.988499	
0.998828	0.047065	0.011307	-0.046928	0.998825	-0.012126	-0.011864	0.011581	0.999863	9.997650	4.997651	29.988249	
0.998777	0.048067	0.011538	-0.047924	0.998774	-0.012392	-0.012119	0.011824	0.999857	9.997600	4.997601	29.987999	
0.998726	0.049070	0.011768	-0.048920	0.998722	-0.012658	-0.012374	0.012066	0.999851	9.997550	4.997551	29.987749	
0.998674	0.050072	0.011998	-0.049917	0.998670	-0.012924	-0.012629	0.012308	0.999844	9.997500	4.997501	29.987499	
0.998620	0.051075	0.012227	-0.050913	0.998616	-0.013191	-0.012884	0.012551	0.999838	9.997450	4.997451	29.987249	
0.998565	0.052077	0.012456	-0.051909	0.998561	-0.013458	-0.013139	0.012793	0.999832	9.997400	4.997401	29.986999	
0.998510	0.053080	0.012685	-0.052905	0.998505	-0.013726	-0.013395	0.013034	0.999825	9.997350	4.997351	29.986749	
0.998453	0.054082	0.012913	-0.053901	0.998448	-0.013994	-0.013650	0.013276	0.999819	9.997300	4.997301	29.986499	
0.998395	0.055085	0.013141	-0.054897	0.998390	-0.014262	-0.013906	0.013518	0.999812	9.997251	4.997251	29.986249	
0.998336	0.056087	0.013368	-0.055892	0.998331	-0.014530	-0.014161	0.013759	0.999805	9.997201	4.997201	29.985999	
0.998276	0.057090	0.013595	-0.056888	0.998271	-0.014799	-0.014417	0.014000	0.999798	9.997151	4.997151	29.985749	
0.998216	0.058092	0.013822	-0.057883	0.998210	-0.015068	-0.014673	0.014241	0.999791	9.997101	4.997101	29.985499	
0.998154	0.059095	0.014048	-0.058878	0.998147	-0.015338	-0.014928	0.014482	0.999784	9.997051	4.997051	29.985248	
0.998090	0.060097	0.014274	-0.059874	0.998084	-0.015607	-0.015184	0.014723	0.999776	9.997001	4.997001	29.984998	
0.998026	0.061100	0.014499	-0.060869	0.998019	-0.015877	-0.015440	0.014963	0.999769	9.996951	4.996951	29.984748	
0.997961	0.062102	0.014724	-0.061864	0.997954	-0.016148	-0.015697	0.015204	0.999761	9.996901	4.996901	29.984498	
0.997895	0.063105	0.014948	-0.062859	0.997887	-0.016418	-0.015953	0.015444	0.999753	9.996851	4.996851	29.984248	
0.997828	0.064108	0.015172	-0.063853	0.997820	-0.016689	-0.016209	0.015684	0.999746	9.996801	4.996801	29.983998	
0.997759	0.065110	0.015396	-0.064848	0.997751	-0.016960	-0.016466	0.015924	0.999738	9.996751	4.996751	29.983748	
0.997690	0.066113	0.015619	-0.065842	0.997681	-0.017232	-0.016722	0.016164	0.999730	9.996701	4.996701	29.983498	
0.997619	0.067115	0.015842	-0.066837	0.997610	-0.017504	-0.016979	0.016403	0.999721	9.996651	4.996651	29.983248	
0.997548	0.068118	0.016064	-0.067831	0.997538	-0.017776	-0.017235	0.016643	0.999713	9.996601	4.996601	29.982998	
0.997475	0.069121	0.016286	-0.068825	0.997465	-0.018049	-0.017492	0.016882	0.999704	9.996551	4.996551	29.982748	
0.997402	0.070123	0.016507	-0.069819	0.997391	-0.018321	-0.017749	0.017121	0.999696	9.996501	4.996501	29.982498	
0.997327	0.071126	0.016728	-0.070813	0.997316	-0.018594	-0.018006	0.017360	0.999687	9.996451	4.996451	29.982248	
0.997251	0.072128	0.016949	-0.071807	0.997240	-0.018868	-0.018263	0.017599	0.999678	9.996401	4.996401	29.981998	
0.997175	0.073131	0.017169	-0.072801	0.997163	-0.019142	-0.018520	0.017837	0.999669	9.996351	4.996351	29.981748	
0.997097	0.074134	0.017389	-0.073794	0.997084	-0.019416	-0.018777	0.018076	0.999660	9.996301	4.996301	29.981498	
0.997018	0.075136	0.017608	-0.074788	0.997005	-0.019690	-0.019035	0.018314	0.999651	9.996251	4.996252	29.981248	
0.996938	0.076139	0.017827	-0.075781	0.996925	-0.019964	-0.019292	0.018552	0.999642	9.996201	4.996202	29.980997	
0.996857	0.077141	0.018045	-0.076774	0.996843	-0.020239	-0.019550	0.018790	0.999632	9.996151	4.996152	29.980747	
0.996775	0.078144	0.018263	-0.077767	0.996760	-0.020515	-0.019807	0.019028	0.999623	9.996101	4.996102	29.980497	
0.996692	0.079146	0.018481	-0.078760	0.996677	-0.020790	-0.020065	0.019266	0.999613	9.996051	4.996052	29.980247	
0.996608	0.080149	0.018698	-0.079753	0.996592	-0.021066	-0.020323	0.019503	0.999603	9.996001	4.996002	29.979997	
0.996522	0.081152	0.018915	-0.080745	0.996506	-0.021342	-0.020581	0.019740	0.999593	9.995951	4.995952	29.979747	
0.996436	0.082154	0.019131	-0.081738	0.996419	-0.021618	-0.020839	0.019978	0.999583	9.995901	4.995902	29.979497	
0.996349	0.083157	0.019347	-0.082730	0.996331	-0.021895	-0.021097	0.020215	0.999573	9.995851	4.995852	29.979247	
